iter	Logloss
0	0.4673970093
1	0.3281276794
2	0.2255850708
3	0.1710079468
4	0.1397690765
5	0.1224088776
6	0.1116172241
7	0.1033065475
8	0.09754849548
9	0.09436417999
10	0.09089925537
11	0.08818912201
12	0.08664367523
13	0.08480231323
14	0.08266639862
15	0.08105699768
16	0.07901321869
17	0.07805497131
18	0.07655415344
19	0.07386373138
20	0.07229600677
21	0.07119884186
22	0.07003918762
23	0.06912849579
24	0.06782444611
25	0.06704791718
26	0.06634692688
27	0.06557778015
28	0.0648813385
29	0.0644756897
30	0.06376077118
31	0.06289468689
32	0.06176447601
33	0.06091394958
34	0.06048861542
35	0.05963462524
36	0.05908852692
37	0.05845862122
38	0.05816138
39	0.05788540192
40	0.05723302917
41	0.05683068085
42	0.05586394196
43	0.05522922821
44	0.0546234787
45	0.05421906281
46	0.05380792084
47	0.05358950806
48	0.05322387695
49	0.05286291962
50	0.05245829315
51	0.052118573
52	0.05162417068
53	0.05139793854
54	0.0511415657
55	0.05055615692
56	0.05029617615
57	0.04993426895
58	0.04956161118
59	0.04924276581
60	0.04893823242
61	0.04860047531
62	0.04829893112
63	0.04820478973
64	0.04791346588
65	0.04773489304
66	0.04747016754
67	0.04719925613
68	0.04709465942
69	0.04690662384
70	0.04672456589
71	0.04656299057
72	0.04644912949
73	0.0463420723
74	0.04623405304
75	0.04611028748
76	0.04597019958
77	0.04581731873
78	0.04567544861
79	0.04549777603
80	0.04536286926
81	0.04517623672
82	0.04506255646
83	0.0448796608
84	0.04470942535
85	0.04457914505
86	0.04451793671
87	0.04439321213
88	0.04420926971
89	0.04406874542
90	0.04392440491
91	0.04382290421
92	0.04371359329
93	0.04361013031
94	0.04353537903
95	0.04343671112
96	0.04337186279
97	0.04317481155
98	0.04312828293
99	0.04302885208
100	0.04298550568
101	0.04286733704
102	0.04277137299
103	0.04268911362
104	0.04257335281
105	0.04250602722
106	0.042407798
107	0.04231969833
108	0.0422240181
109	0.04219383163
110	0.04210060959
111	0.04205020142
112	0.04197089005
113	0.04186761475
114	0.04182672272
115	0.0417515892
116	0.0416605278
117	0.04161661835
118	0.04154261169
119	0.04149524307
120	0.04140650635
121	0.04131558151
122	0.04124289322
123	0.04119440231
124	0.04114009476
125	0.04110003052
126	0.04105041199
127	0.04102240601
128	0.04095342941
129	0.04092014771
130	0.04084350967
131	0.04074162979
132	0.04067056808
133	0.04062844391
134	0.04053742981
135	0.04050212936
136	0.0404169342
137	0.04039858246
138	0.04036062164
139	0.0403465332
140	0.04032340698
141	0.04023128891
142	0.04019804382
143	0.04018691025
144	0.04013094406
145	0.04008505325
146	0.04005030289
147	0.03998842697
148	0.03993847885
149	0.03985158005
150	0.03980590286
151	0.03972858963
152	0.03966507874
153	0.03958572693
154	0.03954168777
155	0.03951487732
156	0.03945436325
157	0.03940424805
158	0.03935421524
159	0.03934526215
160	0.0393210968
161	0.03926051788
162	0.0391773468
163	0.03912747879
164	0.03904080429
165	0.03900093613
166	0.03897429352
167	0.03895895538
168	0.03890232086
169	0.03885918884
170	0.0388207283
171	0.0387939064
172	0.03876738358
173	0.03875265961
174	0.03874662018
175	0.03869526062
176	0.0386386055
177	0.03859514771
178	0.03857443237
179	0.0385401413
180	0.03851027069
181	0.03847970352
182	0.03844619141
183	0.03840829544
184	0.0383606926
185	0.03834118881
186	0.03833597412
187	0.03831061172
188	0.03826693954
189	0.03822773209
190	0.03820681305
191	0.03818605881
192	0.03816296387
193	0.03813227921
194	0.03811266403
195	0.03808572769
196	0.03806329117
197	0.03803605423
198	0.03802278214
199	0.03797711258
